"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2022-10-16,18,15,3,0
2022-10-17,17,12,5,0
2022-10-18,17,10,6,1
2022-10-19,18,11,7,0
2022-10-20,17,10,5,2
2022-10-21,24,15,9,0
2022-10-22,19,14,5,0
2022-10-23,11,6,5,0
2022-10-24,32,22,10,0
2022-10-25,25,20,5,0
2022-10-26,20,13,7,0
2022-10-27,21,17,3,1
2022-10-28,19,13,6,0
2022-10-29,11,9,2,0
2022-10-30,15,9,5,1
2022-10-31,15,8,7,0
2022-11-01,16,9,6,1
2022-11-02,15,11,3,1
2022-11-03,19,13,3,3
2022-11-04,18,12,6,0
2022-11-05,17,12,5,0
2022-11-06,13,8,5,0
2022-11-07,13,8,5,0
2022-11-08,18,9,7,2
2022-11-09,20,13,7,0
2022-11-10,14,9,5,0
2022-11-11,10,7,3,0
2022-11-12,8,6,2,0
2022-11-13,18,11,7,0
2022-11-14,14,8,6,0
2022-11-15,15,10,5,0
2022-11-16,12,7,5,0
2022-11-17,9,6,2,1
2022-11-18,14,12,2,0
2022-11-19,12,4,5,3
2022-11-20,6,3,3,0
2022-11-21,14,12,2,0
2022-11-22,9,6,3,0
2022-11-23,11,7,3,1
2022-11-24,18,11,6,1
2022-11-25,7,2,4,1
2022-11-26,17,7,9,1
2022-11-27,9,6,3,0
2022-11-28,16,8,8,0
2022-11-29,8,6,2,0
2022-11-30,17,12,4,1
2022-12-01,9,8,1,0
2022-12-02,10,7,3,0
2022-12-03,8,4,4,0
2022-12-04,12,6,5,1
2022-12-05,10,6,4,0
2022-12-06,8,4,3,1
2022-12-07,10,4,5,1
2022-12-08,10,6,3,1
2022-12-09,11,8,3,0
2022-12-10,6,2,4,0
2022-12-11,12,9,3,0
2022-12-12,10,5,5,0
2022-12-13,9,6,3,0
2022-12-14,10,7,3,0
2022-12-15,5,3,2,0
2022-12-16,14,8,6,0
2022-12-17,3,1,1,1
2022-12-18,11,8,3,0
2022-12-19,10,5,5,0
2022-12-20,13,8,4,1
2022-12-21,10,8,1,1
2022-12-22,11,6,5,0
2022-12-23,16,8,7,1
2022-12-24,10,8,2,0
2022-12-25,9,5,4,0
2022-12-26,5,2,3,0
2022-12-27,9,3,5,1
2022-12-28,9,6,3,0
2022-12-29,6,4,2,0
2022-12-30,9,5,4,0
2022-12-31,18,11,5,2
2023-01-01,15,10,4,1
2023-01-02,16,10,6,0
2023-01-03,18,15,2,1
2023-01-04,5,2,3,0
2023-01-05,14,11,2,1
2023-01-06,16,6,9,1
2023-01-07,6,6,0,0
2023-01-08,13,7,6,0
2023-01-09,10,8,1,1
2023-01-10,16,12,4,0
2023-01-11,13,8,5,0
2023-01-12,11,9,2,0
2023-01-13,17,11,5,1
2023-01-14,8,6,2,0
2023-01-15,11,9,2,0
2023-01-16,10,7,3,0
2023-01-17,10,6,4,0
2023-01-18,16,12,4,0
2023-01-19,9,5,4,0
2023-01-20,9,7,2,0
2023-01-21,4,2,2,0
2023-01-22,9,8,1,0
2023-01-23,7,6,1,0
2023-01-24,10,6,4,0
2023-01-25,11,9,2,0
2023-01-26,13,6,6,1
2023-01-27,8,6,2,0
2023-01-28,6,5,1,0
2023-01-29,12,6,5,1
2023-01-30,5,4,1,0
2023-01-31,10,7,3,0
2023-02-01,11,7,4,0
2023-02-02,3,2,1,0
2023-02-03,3,1,2,0
2023-02-04,9,6,2,1
2023-02-05,5,3,1,1
2023-02-06,14,9,4,1
2023-02-07,5,4,1,0
2023-02-08,5,5,0,0
2023-02-09,3,1,2,0
2023-02-10,11,5,6,0
2023-02-11,5,2,3,0
2023-02-12,5,2,2,1
2023-02-13,2,2,0,0
2023-02-14,2,2,0,0
2023-02-15,9,6,2,1
2023-02-16,4,2,2,0
2023-02-17,8,3,5,0
2023-02-18,3,2,0,1
2023-02-19,2,2,0,0
2023-02-20,8,5,3,0
2023-02-21,6,3,2,1
2023-02-22,4,2,2,0
2023-02-23,9,6,3,0
2023-02-24,6,5,1,0
2023-02-25,3,2,1,0
2023-02-26,4,4,0,0
2023-02-27,2,2,0,0
2023-02-28,2,2,0,0
2023-03-01,3,0,1,2
2023-03-02,0,0,0,0
